iter	Passed	Remaining
0	1	1450
1	2	1169
2	3	1042
3	3	984
4	4	959
5	5	938
6	6	942
7	7	928
8	8	916
9	9	900
10	9	891
11	10	885
12	11	877
13	12	873
14	13	889
15	14	897
16	15	902
17	16	895
18	17	890
19	17	880
20	18	877
21	19	875
22	20	871
23	21	867
24	22	866
25	22	861
26	23	854
27	24	857
28	25	854
29	26	852
30	27	850
31	28	854
32	29	856
33	30	856
34	30	853
35	31	850
36	32	847
37	33	848
38	34	846
39	35	843
40	36	842
41	36	839
42	37	838
43	38	836
44	39	834
45	40	833
46	41	831
47	41	832
48	43	836
49	43	835
50	45	837
51	45	834
52	46	832
53	47	829
54	48	827
55	48	825
56	49	823
57	50	822
58	51	820
59	52	819
60	53	818
61	53	816
62	54	815
63	55	816
64	56	814
65	57	813
66	59	828
67	60	828
68	61	826
69	62	823
70	62	822
71	63	820
72	64	818
73	65	817
74	66	815
75	66	814
76	67	812
77	68	810
78	69	808
79	70	806
80	70	804
81	71	802
82	72	795
83	73	799
84	74	798
85	75	801
86	76	798
87	76	796
88	77	795
89	78	793
90	79	791
91	79	788
92	80	786
93	81	783
94	82	781
95	82	779
96	83	776
97	84	774
98	84	771
99	85	770
100	86	768
101	87	770
102	88	772
103	89	773
104	90	771
105	91	769
106	91	766
107	92	764
108	93	763
109	94	761
110	94	759
111	95	757
112	96	755
113	97	754
114	97	752
115	98	752
116	99	749
117	100	749
118	101	748
119	101	747
120	102	747
121	103	745
122	104	745
123	105	744
124	106	742
125	106	740
126	107	737
127	108	736
128	108	734
129	109	732
130	110	731
131	110	729
132	111	728
133	112	726
134	113	725
135	113	723
136	114	722
137	115	720
138	116	719
139	116	717
140	117	716
141	118	714
142	119	714
143	119	713
144	120	711
145	121	710
146	122	708
147	122	707
148	123	706
149	124	705
150	125	703
151	125	702
152	126	701
153	127	699
154	128	698
155	128	697
156	129	695
157	130	694
158	131	693
159	131	692
160	132	690
161	133	691
162	134	690
163	135	689
164	135	688
165	136	686
166	137	685
167	138	684
168	138	682
169	139	681
170	140	680
171	141	679
172	141	678
173	142	677
174	143	675
175	144	674
176	144	673
177	145	672
178	146	671
179	147	669
180	148	669
181	148	669
182	149	668
183	150	667
184	151	665
185	151	664
186	152	663
187	153	661
188	153	660
189	154	659
190	155	658
191	156	657
192	157	656
193	157	655
194	158	654
195	159	653
196	160	652
197	160	651
198	161	649
199	162	648
200	163	648
201	163	647
202	164	647
203	165	646
204	166	645
205	167	643
206	167	642
207	168	641
208	169	641
209	170	639
210	170	638
211	171	637
212	172	636
213	172	635
214	173	634
215	174	633
216	175	631
217	175	630
218	176	629
219	177	628
220	178	628
221	178	627
222	179	626
223	180	625
224	181	624
225	181	623
226	182	623
227	183	622
228	184	622
229	185	621
230	186	620
231	187	619
232	187	618
233	188	617
234	189	616
235	190	615
236	190	614
237	191	612
238	192	611
239	193	611
240	193	610
241	194	610
242	195	609
243	196	608
244	197	607
245	197	606
246	198	605
247	199	604
248	199	602
249	200	601
250	201	600
251	202	599
252	202	598
253	203	597
254	204	597
255	205	596
256	205	595
257	206	594
258	207	593
259	208	593
260	209	592
261	210	591
262	210	590
263	211	589
264	212	588
265	212	587
266	213	586
267	214	585
268	215	584
269	215	583
270	216	582
271	217	581
272	217	580
273	218	579
274	219	578
275	220	577
276	220	576
277	221	575
278	222	574
279	223	574
280	224	574
281	225	573
282	225	572
283	226	571
284	227	569
285	227	569
286	228	568
287	229	567
288	230	566
289	230	565
290	231	564
291	232	563
292	233	562
293	233	561
294	234	560
295	235	559
296	236	558
297	236	557
298	237	557
299	238	557
300	239	556
301	240	555
302	241	554
303	241	553
304	242	552
305	243	551
306	243	550
307	244	549
308	245	548
309	246	547
310	246	546
311	247	545
312	248	544
313	249	544
314	249	543
315	250	542
316	251	541
317	252	540
318	252	540
319	253	539
320	254	538
321	255	537
322	256	536
323	256	535
324	257	535
325	258	534
326	259	533
327	259	532
328	260	531
329	261	530
330	261	529
331	262	528
332	263	527
333	263	526
334	264	525
335	265	524
336	266	523
337	267	522
338	268	522
339	269	522
340	269	521
341	270	520
342	271	519
343	272	518
344	272	517
345	273	516
346	274	516
347	274	515
348	275	514
349	276	513
350	277	512
351	277	511
352	278	510
353	279	509
354	279	508
355	280	507
356	281	506
357	282	505
358	283	505
359	283	504
360	284	503
361	285	503
362	286	502
363	286	501
364	287	500
365	288	499
366	288	498
367	289	497
368	290	496
369	291	495
370	291	494
371	292	494
372	293	493
373	294	492
374	294	491
375	295	490
376	296	489
377	297	489
378	298	488
379	299	487
380	299	486
381	300	486
382	301	485
383	301	484
384	302	483
385	303	482
386	304	481
387	304	480
388	305	479
389	306	479
390	306	478
391	307	477
392	308	476
393	309	475
394	310	475
395	311	474
396	313	475
397	314	475
398	315	475
399	316	475
400	317	474
401	318	473
402	319	472
403	319	471
404	320	471
405	321	470
406	322	469
407	322	468
408	323	467
409	324	466
410	325	466
411	326	465
412	326	464
413	327	464
414	328	463
415	329	462
416	330	462
417	331	461
418	332	460
419	332	459
420	333	458
421	334	458
422	335	457
423	336	456
424	336	455
425	337	454
426	338	454
427	339	453
428	339	452
429	340	451
430	341	450
431	342	450
432	343	449
433	344	449
434	345	448
435	346	447
436	346	447
437	347	446
438	348	445
439	349	444
440	350	443
441	351	443
442	351	442
443	352	441
444	353	440
445	354	440
446	354	439
447	355	438
448	356	437
449	357	437
450	358	436
451	359	435
